Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2012","2012","1000 t","2","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2012","2012","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2012","2012","1000 t","33","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2012","2012","kg/cap","3.02","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2012","2012","kcal/cap/d","74.41","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2012","2012","million Kcal","299022.5","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2012","2012","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","671","Protein supply quantity (t)","S2580","Olive Oil","2012","2012","t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","684","Fat supply quantity (g/capita/day)","S2580","Olive Oil","2012","2012","g/cap/d","8.26","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","681","Fat supply quantity (t)","S2580","Olive Oil","2012","2012","t","33196.84","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5511","Production","S2580","Olive Oil","2013","2013","1000 t","202","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5611","Import quantity","S2580","Olive Oil","2013","2013","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5072","Stock Variation","S2580","Olive Oil","2013","2013","1000 t","11","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2013","2013","1000 t","157","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2013","2013","1000 t","35","I","Value imputed by a receiving agency",""
